Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2014,1,1,0,30,N/A,242.69,5.29,-0.97,98640,N/A
2014,1,1,1,30,N/A,214.32,4.69,-1.34,98660,N/A
2014,1,1,2,30,N/A,210.89,5.02,-1.05,98660,N/A
2014,1,1,3,30,N/A,217.87,5.15,-0.97,98650,N/A
2014,1,1,4,30,N/A,204.55,5.37,-1.09,98620,N/A
2014,1,1,5,30,N/A,198.53,6.04,-1.23,98610,N/A
2014,1,1,6,30,N/A,198.12,6.13,-1.18,98590,N/A
2014,1,1,7,30,N/A,198.63,6.43,-1.12,98580,N/A
2014,1,1,8,30,N/A,196.47,6.4,-1.06,98560,N/A
2014,1,1,9,30,N/A,199.36,5.26,-0.34,98520,N/A
2014,1,1,10,30,N/A,200.2,4.1,1.35,98490,N/A
2014,1,1,11,30,N/A,204.53,4.61,2.64,98390,N/A
2014,1,1,12,30,N/A,203.4,4.99,3.68,98320,N/A
2014,1,1,13,30,N/A,203.58,4.6,4.66,98240,N/A
2014,1,1,14,30,N/A,200.48,4.83,5.32,98180,N/A
2014,1,1,15,30,N/A,202.46,5.11,5.61,98120,N/A
2014,1,1,16,30,N/A,204.95,5.39,5.67,98100,N/A
2014,1,1,17,30,N/A,210.01,6.65,5.69,98070,N/A
2014,1,1,18,30,N/A,204.43,6.47,5.71,98030,N/A
2014,1,1,19,30,N/A,203.48,5.33,5.39,98000,N/A
2014,1,1,20,30,N/A,210.79,5,5.57,97970,N/A
2014,1,1,21,30,N/A,226.9,4.67,4.96,97930,N/A
2014,1,1,22,30,N/A,232.87,3.91,4.7,97870,N/A
2014,1,1,23,30,N/A,207.8,3.4,4.03,97790,N/A
2014,1,2,0,30,N/A,210.54,3.78,4.14,97740,N/A
2014,1,2,1,30,N/A,219.58,2.91,3.76,97690,N/A
2014,1,2,2,30,N/A,212.14,2.33,3.19,97630,N/A
2014,1,2,3,30,N/A,195.23,3.42,2.5,97560,N/A
2014,1,2,4,30,N/A,218.62,3.36,2.03,97480,N/A
2014,1,2,5,30,N/A,209.59,2.21,1.48,97420,N/A
2014,1,2,6,30,N/A,223.64,0.82,1.2,97330,N/A
2014,1,2,7,30,N/A,307.2,1.31,-0.26,97260,N/A
2014,1,2,8,30,N/A,58.78,1.59,-0.51,97190,N/A
2014,1,2,9,30,N/A,102.36,2.13,-0.66,97110,N/A
2014,1,2,10,30,N/A,94.25,2.18,0.4,97020,N/A
2014,1,2,11,30,N/A,197.77,0.52,1.36,96930,N/A
2014,1,2,12,30,N/A,303.96,3.36,1.09,96890,N/A
2014,1,2,13,30,N/A,330.49,6.02,0.59,96870,N/A
2014,1,2,14,30,N/A,332.86,9.14,-0.23,96900,N/A
2014,1,2,15,30,N/A,328,9.26,-1.51,96970,N/A
2014,1,2,16,30,N/A,332.81,10.88,-3.03,97060,N/A
2014,1,2,17,30,N/A,335.29,13.36,-6.29,97230,N/A
2014,1,2,18,30,N/A,341.04,13.92,-8.39,97390,N/A
2014,1,2,19,30,N/A,340.59,13.61,-9.44,97510,N/A
2014,1,2,20,30,N/A,344.36,12.96,-10.04,97660,N/A
2014,1,2,21,30,N/A,343.56,13.07,-10.65,97810,N/A
2014,1,2,22,30,N/A,339.63,12.77,-10.83,97910,N/A
2014,1,2,23,30,N/A,341.6,11.62,-11.02,98030,N/A
2014,1,3,0,30,N/A,343.47,12.04,-11.1,98150,N/A
2014,1,3,1,30,N/A,341.23,11.17,-11.18,98290,N/A
2014,1,3,2,30,N/A,336.74,11.01,-11.68,98390,N/A
2014,1,3,3,30,N/A,337.98,10.36,-12.35,98520,N/A
2014,1,3,4,30,N/A,337.71,9.87,-12.97,98610,N/A
2014,1,3,5,30,N/A,341.81,9.12,-13.46,98720,N/A
2014,1,3,6,30,N/A,339.38,7.3,-13.56,98810,N/A
2014,1,3,7,30,N/A,339.64,6.97,-13.92,98890,N/A
2014,1,3,8,30,N/A,335.88,5.54,-13.98,98970,N/A
2014,1,3,9,30,N/A,339.89,3.63,-13.59,99020,N/A
2014,1,3,10,30,N/A,331.74,3.87,-12.81,99030,N/A
2014,1,3,11,30,N/A,330.56,3.63,-11.79,99010,N/A
2014,1,3,12,30,N/A,331.72,3.2,-10.84,99010,N/A
2014,1,3,13,30,N/A,328.5,2.47,-10,99030,N/A
2014,1,3,14,30,N/A,320.4,2.08,-9.27,99000,N/A
2014,1,3,15,30,N/A,334.2,1.28,-8.81,98970,N/A
2014,1,3,16,30,N/A,247.71,1.57,-8.56,98930,N/A
2014,1,3,17,30,N/A,167.87,1.63,-8.51,98930,N/A
2014,1,3,18,30,N/A,165.34,3.31,-8.47,98920,N/A
2014,1,3,19,30,N/A,160.76,3.54,-8.4,98880,N/A
2014,1,3,20,30,N/A,164.25,5.19,-8.3,98850,N/A
2014,1,3,21,30,N/A,160.47,6.38,-8.13,98800,N/A
2014,1,3,22,30,N/A,167.69,7.17,-7.82,98700,N/A
2014,1,3,23,30,N/A,172.02,7.8,-7.63,98610,N/A
2014,1,4,0,30,N/A,169.64,8.01,-7.42,98560,N/A
2014,1,4,1,30,N/A,169.34,8.24,-7.19,98520,N/A
2014,1,4,2,30,N/A,171.08,8.9,-6.82,98470,N/A
2014,1,4,3,30,N/A,170.51,8.71,-6.52,98450,N/A
2014,1,4,4,30,N/A,177.5,8.5,-6.04,98410,N/A
2014,1,4,5,30,N/A,182.97,8.55,-5.59,98410,N/A
2014,1,4,6,30,N/A,195.68,9.91,-4.49,98400,N/A
2014,1,4,7,30,N/A,191.2,9.08,-4.03,98410,N/A
2014,1,4,8,30,N/A,192.34,8.89,-3.76,98390,N/A
2014,1,4,9,30,N/A,203.4,10.62,-2.58,98380,N/A
2014,1,4,10,30,N/A,205.16,8.75,-1.26,98350,N/A
2014,1,4,11,30,N/A,208.55,9.28,0.26,98250,N/A
2014,1,4,12,30,N/A,210.77,8.88,1.52,98210,N/A
2014,1,4,13,30,N/A,208.08,8.6,2.53,98160,N/A
2014,1,4,14,30,N/A,206.52,7.6,3.38,98120,N/A
2014,1,4,15,30,N/A,203.7,7.49,3.75,98070,N/A
2014,1,4,16,30,N/A,204.35,8.07,3.78,98030,N/A
2014,1,4,17,30,N/A,200.58,7.67,3.65,98050,N/A
2014,1,4,18,30,N/A,201.57,8.79,3.54,98040,N/A
2014,1,4,19,30,N/A,206.53,8.75,2.81,98040,N/A
2014,1,4,20,30,N/A,212.31,8.99,2.1,98040,N/A
2014,1,4,21,30,N/A,207.66,8.71,1.58,98040,N/A
2014,1,4,22,30,N/A,214.04,9.85,1.67,98030,N/A
2014,1,4,23,30,N/A,207.01,8.47,1.04,98000,N/A
2014,1,5,0,30,N/A,214.65,8.99,1.19,97990,N/A
2014,1,5,1,30,N/A,203.47,7.49,0.63,98000,N/A
2014,1,5,2,30,N/A,209.08,8.23,0.87,97980,N/A
2014,1,5,3,30,N/A,204.46,7.95,0.72,97940,N/A
2014,1,5,4,30,N/A,194.21,7.98,0.79,97920,N/A
2014,1,5,5,30,N/A,191,7.32,1.29,97900,N/A
2014,1,5,6,30,N/A,186.16,7.3,1.49,97870,N/A
2014,1,5,7,30,N/A,179.42,7.49,1.8,97820,N/A
2014,1,5,8,30,N/A,173.64,7.57,1.99,97750,N/A
2014,1,5,9,30,N/A,163.96,7.89,1.96,97660,N/A
2014,1,5,10,30,N/A,165.16,7.96,3.24,97500,N/A
2014,1,5,11,30,N/A,169.53,8.19,5.18,97320,N/A
2014,1,5,12,30,N/A,179.58,9.32,6.79,97150,N/A
2014,1,5,13,30,N/A,178.39,8.48,8.31,97010,N/A
2014,1,5,14,30,N/A,187.32,11.11,10.35,96850,N/A
2014,1,5,15,30,N/A,183.68,10.96,10.69,96710,N/A
2014,1,5,16,30,N/A,184.6,13.46,10.37,96530,N/A
2014,1,5,17,30,N/A,182.55,14.88,10.27,96430,N/A
2014,1,5,18,30,N/A,180.79,15.41,9.85,96280,N/A
2014,1,5,19,30,N/A,190.54,14.67,9.75,96200,N/A
2014,1,5,20,30,N/A,193.96,16.12,9.15,96140,N/A
2014,1,5,21,30,N/A,218.84,16.16,8.69,96140,N/A
2014,1,5,22,30,N/A,256.63,9.58,5.9,96180,N/A
2014,1,5,23,30,N/A,250.68,12.24,3.49,96260,N/A
2014,1,6,0,30,N/A,288.83,13.64,-0.51,96430,N/A
2014,1,6,1,30,N/A,297,12.81,-3.78,96610,N/A
2014,1,6,2,30,N/A,301.75,12.65,-5.42,96820,N/A
2014,1,6,3,30,N/A,298.4,11.74,-6.38,96980,N/A
2014,1,6,4,30,N/A,299.95,12.77,-6.96,97110,N/A
2014,1,6,5,30,N/A,301.61,11.09,-7.33,97250,N/A
2014,1,6,6,30,N/A,290.68,11.33,-9.67,97390,N/A
2014,1,6,7,30,N/A,286.6,10.86,-11.95,97530,N/A
2014,1,6,8,30,N/A,293.38,10.44,-13.74,97650,N/A
2014,1,6,9,30,N/A,292.72,12.97,-15.42,97760,N/A
2014,1,6,10,30,N/A,288.83,10.88,-17.04,97840,N/A
2014,1,6,11,30,N/A,279.48,12.58,-17.35,97870,N/A
2014,1,6,12,30,N/A,286.93,10.1,-16.9,97890,N/A
2014,1,6,13,30,N/A,277.55,12.62,-18.77,97980,N/A
2014,1,6,14,30,N/A,289.1,10.53,-18.69,98040,N/A
2014,1,6,15,30,N/A,287.93,10.69,-18.95,98090,N/A
2014,1,6,16,30,N/A,277.5,10.87,-19.67,98150,N/A
2014,1,6,17,30,N/A,278.74,13.22,-20.32,98250,N/A
2014,1,6,18,30,N/A,278.48,10.53,-20.46,98340,N/A
2014,1,6,19,30,N/A,279.02,10.32,-20.86,98420,N/A
2014,1,6,20,30,N/A,276.85,12.04,-21.37,98470,N/A
2014,1,6,21,30,N/A,277.85,13.22,-21.69,98550,N/A
2014,1,6,22,30,N/A,275.39,11.77,-21.62,98580,N/A
2014,1,6,23,30,N/A,268.66,8.87,-21.22,98580,N/A
2014,1,7,0,30,N/A,268.06,9.17,-20.78,98600,N/A
2014,1,7,1,30,N/A,266.47,9.02,-20.32,98630,N/A
2014,1,7,2,30,N/A,264.65,9.57,-19.93,98670,N/A
2014,1,7,3,30,N/A,260.95,8.49,-19.57,98680,N/A
2014,1,7,4,30,N/A,259.71,9.13,-19.32,98720,N/A
2014,1,7,5,30,N/A,263.12,9.71,-19.09,98770,N/A
2014,1,7,6,30,N/A,257.77,9.22,-18.8,98810,N/A
2014,1,7,7,30,N/A,258.34,8.76,-18.49,98860,N/A
2014,1,7,8,30,N/A,255.53,8.61,-18.17,98900,N/A
2014,1,7,9,30,N/A,255.76,8.25,-17.61,98930,N/A
2014,1,7,10,30,N/A,255.76,8.52,-16.77,98940,N/A
2014,1,7,11,30,N/A,255.21,8.18,-15.76,98910,N/A
2014,1,7,12,30,N/A,254.95,7.55,-14.63,98870,N/A
2014,1,7,13,30,N/A,252.21,7.06,-13.56,98850,N/A
2014,1,7,14,30,N/A,252.23,7.21,-12.77,98810,N/A
2014,1,7,15,30,N/A,249.49,7.05,-12.12,98780,N/A
2014,1,7,16,30,N/A,239.93,6.85,-11.77,98770,N/A
2014,1,7,17,30,N/A,243.81,7.48,-11.59,98810,N/A
2014,1,7,18,30,N/A,234.63,6.1,-11.36,98850,N/A
2014,1,7,19,30,N/A,233.06,6.35,-11.17,98880,N/A
2014,1,7,20,30,N/A,233.33,6.75,-10.97,98900,N/A
2014,1,7,21,30,N/A,233.02,6.32,-10.71,98920,N/A
2014,1,7,22,30,N/A,226.96,5.66,-10.44,98940,N/A
2014,1,7,23,30,N/A,221.23,5.47,-10.16,98930,N/A
2014,1,8,0,30,N/A,212.44,5.48,-9.85,98940,N/A
2014,1,8,1,30,N/A,208.88,5.61,-9.55,98940,N/A
2014,1,8,2,30,N/A,202.82,5.76,-9.29,98930,N/A
2014,1,8,3,30,N/A,203.64,6.24,-9,98920,N/A
2014,1,8,4,30,N/A,202.19,6.64,-8.63,98930,N/A
2014,1,8,5,30,N/A,198.78,7,-8.24,98950,N/A
2014,1,8,6,30,N/A,195.72,6.99,-7.88,98970,N/A
2014,1,8,7,30,N/A,198.98,7.3,-7.49,98980,N/A
2014,1,8,8,30,N/A,198.43,7.16,-7.21,98990,N/A
2014,1,8,9,30,N/A,209.32,6.33,-6.47,99010,N/A
2014,1,8,10,30,N/A,220.43,5.96,-5.26,99020,N/A
2014,1,8,11,30,N/A,224.81,6.16,-4.19,98980,N/A
2014,1,8,12,30,N/A,226.6,6.09,-3.06,98950,N/A
2014,1,8,13,30,N/A,227.07,5.95,-2.01,98920,N/A
2014,1,8,14,30,N/A,228.81,5.75,-1.15,98910,N/A
2014,1,8,15,30,N/A,228.6,5.56,-0.58,98910,N/A
2014,1,8,16,30,N/A,231.58,5.4,-0.36,98910,N/A
2014,1,8,17,30,N/A,239.25,5.26,-0.4,98950,N/A
2014,1,8,18,30,N/A,244.55,5.59,-0.53,98980,N/A
2014,1,8,19,30,N/A,241.92,5.88,-0.7,99010,N/A
2014,1,8,20,30,N/A,246.08,5.27,-0.88,99050,N/A
2014,1,8,21,30,N/A,254.63,4.79,-1.02,99080,N/A
2014,1,8,22,30,N/A,260.07,4.07,-1.13,99090,N/A
2014,1,8,23,30,N/A,256.66,3.3,-1.25,99100,N/A
2014,1,9,0,30,N/A,264.31,3.39,-1.15,99110,N/A
2014,1,9,1,30,N/A,273.69,2.53,-1.24,99150,N/A
2014,1,9,2,30,N/A,286.85,1.25,-1.37,99180,N/A
2014,1,9,3,30,N/A,321.76,0.46,-1.52,99200,N/A
2014,1,9,4,30,N/A,54.17,0.23,-1.72,99210,N/A
2014,1,9,5,30,N/A,103.55,0.11,-2.16,99250,N/A
2014,1,9,6,30,N/A,127.26,1.14,-2.21,99250,N/A
2014,1,9,7,30,N/A,142.99,2.09,-2.13,99260,N/A
2014,1,9,8,30,N/A,127.01,2.66,-2.41,99260,N/A
2014,1,9,9,30,N/A,117.43,2.63,-1.99,99250,N/A
2014,1,9,10,30,N/A,129.71,3.71,-0.76,99200,N/A
2014,1,9,11,30,N/A,141.38,3.97,0.36,99120,N/A
2014,1,9,12,30,N/A,147.01,3.67,1.6,99060,N/A
2014,1,9,13,30,N/A,152.33,3.65,2.54,99000,N/A
2014,1,9,14,30,N/A,147.72,3.76,2.99,98940,N/A
2014,1,9,15,30,N/A,140.12,3.66,3.35,98880,N/A
2014,1,9,16,30,N/A,141.02,3.88,3.55,98860,N/A
2014,1,9,17,30,N/A,158.7,4.02,3.81,98890,N/A
2014,1,9,18,30,N/A,145.36,4.53,3.97,98880,N/A
2014,1,9,19,30,N/A,153.06,4.73,3.78,98870,N/A
2014,1,9,20,30,N/A,220.36,9.49,3.91,98890,N/A
2014,1,9,21,30,N/A,169.65,5.17,2.42,98870,N/A
