Hour,Solar_Mean_MWh,Solar_StdDev_MWh,Wind_Mean_MW,Wind_StdDev_MW,Workload_Mean_CPU,Workload_StdDev_CPU
200,17.90,25.39,0.00,0.07,4.64,2.77
201,416.50,27.72,0.00,0.07,3.20,5.12
202,0.00,27.70,0.00,0.07,2.13,6.69
203,376.14,27.71,0.01,0.06,1.18,5.12
204,6.13,25.39,0.02,0.06,0.19,2.77
205,21.68,27.73,0.02,0.06,0.00,5.12
206,11.39,27.73,0.03,0.06,0.00,6.69
207,15.00,27.74,0.04,0.07,0.00,5.12
208,11.45,25.42,0.06,0.08,0.85,2.77
209,15.15,27.70,0.07,0.08,6.37,5.12
210,9.69,27.66,0.09,0.08,13.78,6.69
211,10.39,27.69,0.11,0.07,19.94,5.12
212,9.82,25.42,0.13,0.07,21.74,2.77
213,20.09,27.74,0.16,0.06,18.47,5.12
214,9.70,27.73,0.19,0.06,12.18,6.69
215,15.21,27.74,0.22,0.06,6.09,5.12
216,0.46,25.39,0.25,0.06,2.48,2.77
217,410.28,27.71,0.27,0.07,1.73,5.12
218,0.00,27.71,0.28,0.07,2.80,6.69
219,397.74,27.71,0.30,0.08,4.27,5.12
220,33.24,25.40,0.30,0.07,5.05,2.77
221,620.95,27.72,0.30,0.07,4.69,5.12
222,26.47,27.71,0.29,0.07,3.38,6.69
223,574.62,27.72,0.27,0.06,1.82,5.12
